url,orden_bfs,prof_fisica,pagerank,authority
https://www.unlu.edu.ar/carg-biologia-1804.html,205,1,0.00066414,0.00012621
https://www.unlu.edu.ar/carg-comercio-2704.html,207,1,0.00066414,0.00012621
https://www.unlu.edu.ar/carg-fisica-1507-08.html,208,1,0.00066414,0.00012621
https://www.unlu.edu.ar/carg-eduini-2603.html,209,1,0.00066414,0.00012621
https://www.unlu.edu.ar/carg-enfermeria-5201.html,210,1,0.00066414,0.00012621
https://www.unlu.edu.ar/carg-geografia-1003.html,211,1,0.00066414,0.00012621
https://www.unlu.edu.ar/carg-historia-0609.html,213,1,0.00066414,0.00012621
https://www.unlu.edu.ar/carg-sistemas-1713.html,214,1,0.00066414,0.00012621
https://www.unlu.edu.ar/carg-prof-biologicas-4803.html,215,1,0.00066414,0.00012621
https://www.unlu.edu.ar/carg-prof-educ-fisica-4302.html,216,1,0.00066414,0.00012621
https://www.unlu.edu.ar/carg-prof-fisica-5802.html,217,1,0.00066414,0.00012621
https://www.unlu.edu.ar/carg-prof-historia-0805.html,218,1,0.00066414,0.00012621
https://www.unlu.edu.ar/carpre-tagu.html,212,1,0.00066412,0.00012621
https://www.unlu.edu.ar/carg-fisica-1505-06.html,223,1,0.00066390,0.00012621
https://www.unlu.edu.ar/carg-geografia-1001.html,224,1,0.00066390,0.00012621
https://www.unlu.edu.ar/carg-historia-0603.html,225,1,0.00066390,0.00012621
https://www.unlu.edu.ar/carg-prof-biologicas-4801.html,228,1,0.00066390,0.00012621
https://www.unlu.edu.ar/carg-prof-fisica-5801.html,229,1,0.00066390,0.00012621
https://www.unlu.edu.ar/carg-prof-historia-0804.html,230,1,0.00066390,0.00012621
https://www.unlu.edu.ar/carg-fisica-1504.html,231,1,0.00066390,0.00012621
https://www.unlu.edu.ar/inv-operativa-sis.html,232,1,0.00066388,0.00012621
https://www.unlu.edu.ar/carg-alimentos-0110.html,198,1,0.00066360,0.00012625
https://www.unlu.edu.ar/carg-sistemas-1711.html,226,1,0.00066337,0.00012623
https://www.unlu.edu.ar/modelos-sim.html,227,1,0.00066337,0.00012623
https://www.unlu.edu.ar/carg-industrial-2508.html,200,1,0.00066309,0.00012628
https://www.unlu.edu.ar/inv-operativa-ind.html,221,1,0.00066284,0.00012628
https://www.unlu.edu.ar,0,0,0.00064626,-0.00000000
