url,prof_logica,prof_fisica,tipo
https://www.ebay.com/globaldeals/ver-todo/monedas,2,3,estatica
https://www.ebay.com/globaldeals/ver-todo/juguetes,2,3,estatica
https://www.ebay.com/globaldeals/ver-todo/instrumentos-musicales,2,3,estatica
https://www.ebay.com/globaldeals/ver-todo/viajes,2,3,estatica
https://www.ebay.com/globaldeals/ver-todo/tienda-para-aficionados,2,3,estatica
https://www.ebay.com/globaldeals/ver-todo/muebles-de-oficina-y-suministros,2,3,estatica
https://www.ebay.com/globaldeals/ver-todo/empaquetado-y-envio,2,3,estatica
https://www.ebay.com/e/latam/your-items-with-free-shipping-sp?mkevt=1&mkpid=2&emsid=0&plmtId=19907&mesgId=8538114989545291815&mkcid=8&ch=osgood&cnvId=400001,2,3,dinamica
https://www.ebay.com/itm/116559489209?_trkparms=5373%3A0%7C5374%3AFeatured,2,2,dinamica
https://www.ebay.com/itm/126173643602?_trkparms=5373%3A0%7C5374%3AFeatured,2,2,dinamica
https://www.ebay.com/itm/167031735841?_trkparms=5373%3A0%7C5374%3AFeatured,2,2,dinamica
https://www.ebay.com/itm/135473167576?_trkparms=5373%3A0%7C5374%3AFeatured,2,2,dinamica
https://www.ebay.com/itm/336561176798?_trkparms=5373%3A0%7C5374%3AFeatured,2,2,dinamica
https://www.ebay.com/itm/306788661226?_trkparms=5373%3A0%7C5374%3AFeatured,2,2,dinamica
https://www.ebay.com/itm/166819315978?_trkparms=5373%3A0%7C5374%3AFeatured,2,2,dinamica
https://www.ebay.com/itm/177780409630?_trkparms=5373%3A0%7C5374%3AFeatured,2,2,dinamica
https://www.ebay.com/itm/186602316011?_trkparms=5373%3A0%7C5374%3AFeatured,2,2,dinamica
https://www.ebay.com/itm/256379350872?_trkparms=5373%3A0%7C5374%3AFeatured,2,2,dinamica
https://www.ebay.com/itm/147280705540?_trkparms=5373%3A0%7C5374%3AFeatured,2,2,dinamica
https://www.ebay.com/itm/166304519654?_trkparms=5373%3A0%7C5374%3AFeatured,2,2,dinamica
https://www.ebay.com/itm/155636746868?_trkparms=5373%3A0%7C5374%3AFeatured,2,2,dinamica
https://www.ebay.com/itm/127308419216?_trkparms=5373%3A0%7C5374%3AFeatured,2,2,dinamica
https://www.ebay.com/itm/386250413580?_trkparms=5373%3A0%7C5374%3AFeatured,2,2,dinamica
https://www.ebay.com/itm/177428311426?_trkparms=5373%3A0%7C5374%3AFeatured,2,2,dinamica
https://www.ebay.com/itm/387495675783?_trkparms=5373%3A0%7C5374%3AFeatured,2,2,dinamica
https://www.ebay.com/itm/394171367332?_trkparms=5373%3A0%7C5374%3AFeatured,2,2,dinamica
https://www.ebay.com/itm/177790530564?_trkparms=5373%3A0%7C5374%3AFeatured,2,2,dinamica
https://www.ebay.com/itm/286490182031?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000007518,2,2,dinamica
https://www.ebay.com/itm/234971847592?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000007518,2,2,dinamica
https://www.ebay.com/itm/234971879234?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000007518,2,2,dinamica
https://www.ebay.com/itm/286881027851?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000007518,2,2,dinamica
https://www.ebay.com/itm/134967355461?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000012239,2,2,dinamica
https://www.ebay.com/itm/297891762981?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000012239,2,2,dinamica
https://www.ebay.com/itm/224176207555?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000012239,2,2,dinamica
https://www.ebay.com/itm/397970863274?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000012239,2,2,dinamica
https://www.ebay.com/itm/147325510830?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000010237,2,2,dinamica
https://www.ebay.com/itm/167890723501?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000010237,2,2,dinamica
https://www.ebay.com/itm/205784721264?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000010237,2,2,dinamica
https://www.ebay.com/itm/225912505398?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000010237,2,2,dinamica
https://www.ebay.com/itm/267529074488?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000016054,2,2,dinamica
https://www.ebay.com/itm/127750215666?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000016054,2,2,dinamica
https://www.ebay.com/itm/232428859986?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000016054,2,2,dinamica
https://www.ebay.com/itm/226136540280?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000016054,2,2,dinamica
https://www.ebay.com/itm/306978888217?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000015137,2,2,dinamica
https://www.ebay.com/itm/298378605549?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000015137,2,2,dinamica
