query,metodo,patron,total_postings,tiempo_seg
perry smith,sin_skip,t1 AND t2,173,0.000038543
perry smith,con_skip,t1 AND t2,173,0.000060258
verizon wireless,sin_skip,t1 AND t2,24,0.000030932
verizon wireless,con_skip,t1 AND t2,24,0.000008589
road warrior,sin_skip,t1 AND t2,281,0.000094402
road warrior,con_skip,t1 AND t2,281,0.000064937
humane society,sin_skip,t1 AND t2,194,0.000030513
humane society,con_skip,t1 AND t2,194,0.000024438
gabrielle union,sin_skip,t1 AND t2,185,0.000038543
gabrielle union,con_skip,t1 AND t2,185,0.000017317
ovarian cysts,sin_skip,t1 AND t2,5,0.000005725
ovarian cysts,con_skip,t1 AND t2,5,0.000006563
indian man,sin_skip,t1 AND t2,568,0.000108925
indian man,con_skip,t1 AND t2,568,0.000220155
time management,sin_skip,t1 AND t2,1627,0.000353518
time management,con_skip,t1 AND t2,1627,0.000466842
braided wigs,sin_skip,t1 AND t2,5,0.000006773
braided wigs,con_skip,t1 AND t2,5,0.000009915
papi ion,sin_skip,t1 AND t2,41,0.000007471
papi ion,con_skip,t1 AND t2,41,0.000008169
bipolar test,sin_skip,t1 AND t2,124,0.000026184
bipolar test,con_skip,t1 AND t2,124,0.000016199
south park,sin_skip,t1 AND t2,603,0.000117723
south park,con_skip,t1 AND t2,603,0.000210589
temple bailey,sin_skip,t1 AND t2,101,0.000026673
temple bailey,con_skip,t1 AND t2,101,0.000034842
air jamaica,sin_skip,t1 AND t2,269,0.000090631
air jamaica,con_skip,t1 AND t2,269,0.000093774
silver star,sin_skip,t1 AND t2,332,0.000083998
silver star,con_skip,t1 AND t2,332,0.000136226
foto vip,sin_skip,t1 AND t2,6,0.000006215
foto vip,con_skip,t1 AND t2,6,0.000007611
american airlines,sin_skip,t1 AND t2,860,0.000165901
american airlines,con_skip,t1 AND t2,860,0.000158849
ankle tattoos,sin_skip,t1 AND t2,19,0.000009566
ankle tattoos,con_skip,t1 AND t2,19,0.000014104
radio shack,sin_skip,t1 AND t2,285,0.000040567
radio shack,con_skip,t1 AND t2,285,0.000039031
text size,sin_skip,t1 AND t2,12086,0.001680379
text size,con_skip,t1 AND t2,12086,0.001781066
green tea,sin_skip,t1 AND t2,206,0.000077993
green tea,con_skip,t1 AND t2,206,0.000170510
grease gun,sin_skip,t1 AND t2,98,0.000015012
grease gun,con_skip,t1 AND t2,98,0.000013476
bible scriptures,sin_skip,t1 AND t2,59,0.000015501
bible scriptures,con_skip,t1 AND t2,59,0.000023460
office max,sin_skip,t1 AND t2,386,0.000071918
office max,con_skip,t1 AND t2,386,0.000123029
nashville star,sin_skip,t1 AND t2,191,0.000032887
nashville star,con_skip,t1 AND t2,191,0.000034773
50 cent,sin_skip,t1 AND t2,1448,0.000257999
50 cent,con_skip,t1 AND t2,1448,0.000124496
greyhound bus,sin_skip,t1 AND t2,90,0.000021995
greyhound bus,con_skip,t1 AND t2,90,0.000023950
harry davids,sin_skip,t1 AND t2,47,0.000013826
harry davids,con_skip,t1 AND t2,47,0.000010962
trinidad express,sin_skip,t1 AND t2,80,0.000023740
trinidad express,con_skip,t1 AND t2,80,0.000037566
brooke valentine,sin_skip,t1 AND t2,14,0.000008658
brooke valentine,con_skip,t1 AND t2,14,0.000009007
bobby valentino,sin_skip,t1 AND t2,21,0.000011032
bobby valentino,con_skip,t1 AND t2,21,0.000015710
midwest express,sin_skip,t1 AND t2,70,0.000023251
midwest express,con_skip,t1 AND t2,70,0.000035191
game farm,sin_skip,t1 AND t2,443,0.000097684
game farm,con_skip,t1 AND t2,443,0.000148027
scratched eardrum,sin_skip,t1 AND t2,4,0.000005796
scratched eardrum,con_skip,t1 AND t2,4,0.000006703
aim icons,sin_skip,t1 AND t2,58,0.000013337
aim icons,con_skip,t1 AND t2,58,0.000016269
personal finance,sin_skip,t1 AND t2,469,0.000086791
personal finance,con_skip,t1 AND t2,469,0.000133643
ty pennington,sin_skip,t1 AND t2,11,0.000006773
ty pennington,con_skip,t1 AND t2,11,0.000009426
soap spoilers,sin_skip,t1 AND t2,35,0.000007959
soap spoilers,con_skip,t1 AND t2,35,0.000008099
music quizzes,sin_skip,t1 AND t2,778,0.000062423
music quizzes,con_skip,t1 AND t2,778,0.000028209
newport news,sin_skip,t1 AND t2,372,0.000068008
newport news,con_skip,t1 AND t2,372,0.000079389
alliance capital,sin_skip,t1 AND t2,324,0.000071011
alliance capital,con_skip,t1 AND t2,324,0.000123029
address search,sin_skip,t1 AND t2,6161,0.001214096
address search,con_skip,t1 AND t2,6161,0.001083875
extreme video,sin_skip,t1 AND t2,351,0.000058303
extreme video,con_skip,t1 AND t2,351,0.000095380
spartanburg herald,sin_skip,t1 AND t2,18,0.000009356
spartanburg herald,con_skip,t1 AND t2,18,0.000008658
mosquito traps,sin_skip,t1 AND t2,10,0.000005307
mosquito traps,con_skip,t1 AND t2,10,0.000007052
eye hemorrhage,sin_skip,t1 AND t2,115,0.000027581
eye hemorrhage,con_skip,t1 AND t2,115,0.000021436
word whomp,sin_skip,t1 AND t2,203,0.000047969
word whomp,con_skip,t1 AND t2,203,0.000021505
pizza hut,sin_skip,t1 AND t2,32,0.000010962
pizza hut,con_skip,t1 AND t2,32,0.000016757
swing set,sin_skip,t1 AND t2,516,0.000100965
swing set,con_skip,t1 AND t2,516,0.000126311
tg missouri,sin_skip,t1 AND t2,97,0.000026743
tg missouri,con_skip,t1 AND t2,97,0.000039032
air france,sin_skip,t1 AND t2,737,0.000160036
air france,con_skip,t1 AND t2,737,0.000251086
moneymaking jobs,sin_skip,t1 AND t2,46,0.000012429
moneymaking jobs,con_skip,t1 AND t2,46,0.000009776
vascular disease,sin_skip,t1 AND t2,91,0.000016618
vascular disease,con_skip,t1 AND t2,91,0.000016828
ga lottery,sin_skip,t1 AND t2,76,0.000020877
ga lottery,con_skip,t1 AND t2,76,0.000023391
muscle men,sin_skip,t1 AND t2,285,0.000054741
muscle men,con_skip,t1 AND t2,285,0.000064866
valentina vaughan,sin_skip,t1 AND t2,6,0.000005236
valentina vaughan,con_skip,t1 AND t2,6,0.000005796
thong models,sin_skip,t1 AND t2,93,0.000024299
thong models,con_skip,t1 AND t2,93,0.000016338
phoenix pony,sin_skip,t1 AND t2,41,0.000013686
phoenix pony,con_skip,t1 AND t2,41,0.000013965
dr doom,sin_skip,t1 AND t2,71,0.000019760
dr doom,con_skip,t1 AND t2,71,0.000031211
mortgage loans,sin_skip,t1 AND t2,22,0.000007960
mortgage loans,con_skip,t1 AND t2,22,0.000012289
lucille ball,sin_skip,t1 AND t2,88,0.000018084
lucille ball,con_skip,t1 AND t2,88,0.000009565
kelly clarkson,sin_skip,t1 AND t2,39,0.000012638
kelly clarkson,con_skip,t1 AND t2,39,0.000011940
katie holmes,sin_skip,t1 AND t2,18,0.000009007
katie holmes,con_skip,t1 AND t2,18,0.000011801
fasa gov,sin_skip,t1 AND t2,9,0.000005656
fasa gov,con_skip,t1 AND t2,9,0.000007122
cascadia college,sin_skip,t1 AND t2,317,0.000023042
cascadia college,con_skip,t1 AND t2,317,0.000012289
colorful images,sin_skip,t1 AND t2,6056,0.000754726
colorful images,con_skip,t1 AND t2,6056,0.000215407
ina gobeil,sin_skip,t1 AND t2,4,0.000006144
ina gobeil,con_skip,t1 AND t2,4,0.000008169
brad pitt,sin_skip,t1 AND t2,15,0.000007751
brad pitt,con_skip,t1 AND t2,15,0.000011382
clavicle braces,sin_skip,t1 AND t2,3,0.000005237
clavicle braces,con_skip,t1 AND t2,3,0.000006633
short skirt,sin_skip,t1 AND t2,491,0.000065704
short skirt,con_skip,t1 AND t2,491,0.000037355
williams sonoma,sin_skip,t1 AND t2,83,0.000018643
williams sonoma,con_skip,t1 AND t2,83,0.000011870
cheap tickets,sin_skip,t1 AND t2,53,0.000054392
cheap tickets,con_skip,t1 AND t2,53,0.000021994
hertz service,sin_skip,t1 AND t2,427,0.000104805
hertz service,con_skip,t1 AND t2,427,0.000040986
microsoft update,sin_skip,t1 AND t2,49,0.000015362
microsoft update,con_skip,t1 AND t2,49,0.000027162
general electric,sin_skip,t1 AND t2,6117,0.001156841
general electric,con_skip,t1 AND t2,6117,0.000691535
royal jelly,sin_skip,t1 AND t2,91,0.000018573
royal jelly,con_skip,t1 AND t2,91,0.000013267
wwe news,sin_skip,t1 AND t2,358,0.000053904
wwe news,con_skip,t1 AND t2,358,0.000047759
purge cache,sin_skip,t1 AND t2,7,0.000005167
purge cache,con_skip,t1 AND t2,7,0.000007122
school culture,sin_skip,t1 AND t2,789,0.000137064
school culture,con_skip,t1 AND t2,789,0.000221341
music lyric,sin_skip,t1 AND t2,788,0.000134969
music lyric,con_skip,t1 AND t2,788,0.000065355
liberty ford,sin_skip,t1 AND t2,103,0.000027510
liberty ford,con_skip,t1 AND t2,103,0.000046852
oval soap,sin_skip,t1 AND t2,47,0.000013686
oval soap,con_skip,t1 AND t2,47,0.000023810
paris hilton,sin_skip,t1 AND t2,166,0.000027231
paris hilton,con_skip,t1 AND t2,166,0.000018992
truck dragging,sin_skip,t1 AND t2,46,0.000012359
truck dragging,con_skip,t1 AND t2,46,0.000013895
ballet boys,sin_skip,t1 AND t2,86,0.000020598
ballet boys,con_skip,t1 AND t2,86,0.000031002
