query,patron,total_postings,tiempo_seg,tiempo_seg_str
spartanburg herald,t1 AND t2,18,"0,000335646",0.000335646
mosquito traps,t1 AND t2,10,"0,000182210",0.000182210
eye hemorrhage,t1 AND t2,115,"0,000216990",0.000216990
word whomp,t1 AND t2,203,"0,000260989",0.000260989
pizza hut,t1 AND t2,32,"0,000202185",0.000202185
swing set,t1 AND t2,516,"0,000418825",0.000418825
tg missouri,t1 AND t2,97,"0,000202115",0.000202115
air france,t1 AND t2,737,"0,000367843",0.000367843
moneymaking jobs,t1 AND t2,46,"0,000216501",0.000216501
vascular disease,t1 AND t2,91,"0,000261128",0.000261128
ga lottery,t1 AND t2,76,"0,000219714",0.000219714
muscle men,t1 AND t2,285,"0,000283407",0.000283407
valentina vaughan,t1 AND t2,6,"0,000197505",0.000197505
thong models,t1 AND t2,93,"0,000207213",0.000207213
phoenix pony,t1 AND t2,41,"0,000222368",0.000222368
dr doom,t1 AND t2,71,"0,000209587",0.000209587
mortgage loans,t1 AND t2,22,"0,000195130",0.000195130
lucille ball,t1 AND t2,88,"0,000525888",0.000525888
kelly clarkson,t1 AND t2,39,"0,000208191",0.000208191
katie holmes,t1 AND t2,18,"0,000187099",0.000187099
fasa gov,t1 AND t2,9,"0,000186889",0.000186889
cascadia college,t1 AND t2,317,"0,000296118",0.000296118
colorful images,t1 AND t2,6056,"0,002077085",0.002077085
ina gobeil,t1 AND t2,4,"0,000210355",0.000210355
brad pitt,t1 AND t2,15,"0,000187518",0.000187518
clavicle braces,t1 AND t2,3,"0,000214546",0.000214546
short skirt,t1 AND t2,491,"0,000323983",0.000323983
williams sonoma,t1 AND t2,83,"0,000215035",0.000215035
cheap tickets,t1 AND t2,53,"0,000180534",0.000180534
hertz service,t1 AND t2,427,"0,000308898",0.000308898
microsoft update,t1 AND t2,49,"0,000205327",0.000205327
general electric,t1 AND t2,6117,"0,002062698",0.002062698
royal jelly,t1 AND t2,91,"0,000420362",0.000420362
wwe news,t1 AND t2,358,"0,000329362",0.000329362
purge cache,t1 AND t2,7,"0,000295839",0.000295839
school culture,t1 AND t2,789,"0,000475674",0.000475674
music lyric,t1 AND t2,788,"0,000452837",0.000452837
liberty ford,t1 AND t2,103,"0,000232843",0.000232843
oval soap,t1 AND t2,47,"0,000200368",0.000200368
paris hilton,t1 AND t2,166,"0,000236126",0.000236126
truck dragging,t1 AND t2,46,"0,000204769",0.000204769
ballet boys,t1 AND t2,86,"0,000206864",0.000206864
asian countries,t1 AND t2,620,"0,000386769",0.000386769
church signs,t1 AND t2,313,"0,000448507",0.000448507
fringe quilts,t1 AND t2,13,"0,000234030",0.000234030
falafel sandwiches,t1 AND t2,3,"0,000760268",0.000760268
virtual model,t1 AND t2,222,"0,000308759",0.000308759
brad pitt,t1 AND t2,15,"0,000325939",0.000325939
az jobs,t1 AND t2,78,"0,000258474",0.000258474
thyroid disease,t1 AND t2,94,"0,000216781",0.000216781
geo bat,t1 AND t2,493,"0,001010084",0.001010084
netherlands news,t1 AND t2,496,"0,000363513",0.000363513
pogo games,t1 AND t2,303,"0,000274678",0.000274678
orphan foals,t1 AND t2,105,"0,000269649",0.000269649
british airways,t1 AND t2,472,"0,000373290",0.000373290
brad pitt,t1 AND t2,15,"0,000248278",0.000248278
blond jokes,t1 AND t2,21,"0,000198273",0.000198273
garmin avionics,t1 AND t2,6,"0,000221390",0.000221390
midlothian texas,t1 AND t2,175,"0,000241085",0.000241085
graduation ideas,t1 AND t2,125,"0,000219504",0.000219504
softball junk,t1 AND t2,26,"0,000224603",0.000224603
birth certificate,t1 AND t2,484,"0,000354853",0.000354853
scrabble players,t1 AND t2,377,"0,000323984",0.000323984
mortgage calculators,t1 AND t2,9,"0,000255751",0.000255751
bernardo shoes,t1 AND t2,12,"0,000210984",0.000210984
satelite map,t1 AND t2,437,"0,000594960",0.000594960
pocket bikes,t1 AND t2,33,"0,000229002",0.000229002
song lyrics,t1 AND t2,448,"0,000314066",0.000314066
spy ware,t1 AND t2,27,"0,000212450",0.000212450
seattle traffic,t1 AND t2,120,"0,000249536",0.000249536
walkway lighting,t1 AND t2,35,"0,000239338",0.000239338
born footwear,t1 AND t2,1188,"0,000819771",0.000819771
cannes watches,t1 AND t2,19,"0,000222786",0.000222786
sparta illinois,t1 AND t2,129,"0,000261897",0.000261897
bike week,t1 AND t2,162,"0,000480632",0.000480632
revolutionary poems,t1 AND t2,96,"0,000304917",0.000304917
citizenship questions,t1 AND t2,110,"0,000299470",0.000299470
holland america,t1 AND t2,290,"0,000322797",0.000322797
local theaters,t1 AND t2,2306,"0,001016159",0.001016159
tim mcgowan,t1 AND t2,110,"0,000291089",0.000291089
outer banks,t1 AND t2,103,"0,000218108",0.000218108
brooke burke,t1 AND t2,18,"0,000238222",0.000238222
weight watchers,t1 AND t2,169,"0,000271674",0.000271674
yahoo games,t1 AND t2,329,"0,000280334",0.000280334
lost cast,t1 AND t2,517,"0,000330549",0.000330549
teacher supplies,t1 AND t2,149,"0,000252678",0.000252678
westchester ny,t1 AND t2,104,"0,000222857",0.000222857
jet magazine,t1 AND t2,286,"0,000273351",0.000273351
pix 4300,t1 AND t2,7,"0,001061205",0.001061205
crossword puzzles,t1 AND t2,9,"0,000231796",0.000231796
real arcade,t1 AND t2,250,"0,000291927",0.000291927
pool designs,t1 AND t2,106,"0,000231447",0.000231447
death calculator,t1 AND t2,579,"0,000336904",0.000336904
wells fargo,t1 AND t2,38,"0,000234170",0.000234170
nypd rant,t1 AND t2,3,"0,000468411",0.000468411
dam removal,t1 AND t2,63,"0,000255681",0.000255681
famous american,t1 AND t2,1128,"0,000555361",0.000555361
yahoo maps,t1 AND t2,799,"0,000452488",0.000452488
allan motors,t1 AND t2,19,"0,000331945",0.000331945
cancun resorts,t1 AND t2,19,"0,000283197",0.000283197
pool pumps,t1 AND t2,55,"0,000229631",0.000229631
std pictures,t1 AND t2,91,"0,000284804",0.000284804
jessica simpson,t1 AND t2,30,"0,000277541",0.000277541
wal mart,t1 AND t2,16,"0,000257287",0.000257287
northwest airlines,t1 AND t2,132,"0,000361347",0.000361347
farm girls,t1 AND t2,153,"0,000290530",0.000290530
nyc gov,t1 AND t2,27,"0,000264201",0.000264201
postal jobs,t1 AND t2,201,"0,000261408",0.000261408
asheville biltmore,t1 AND t2,7,"0,000209796",0.000209796
cheap tickets,t1 AND t2,53,"0,000297095",0.000297095
guitar necks,t1 AND t2,144,"0,001104436",0.001104436
school uniforms,t1 AND t2,537,"0,000412959",0.000412959
janet jackson,t1 AND t2,100,"0,000263014",0.000263014
rc planes,t1 AND t2,45,"0,000250582",0.000250582
fisher price,t1 AND t2,105,"0,000216013",0.000216013
ionia ephesus,t1 AND t2,3,"0,000189055",0.000189055
cel phones,t1 AND t2,18,"0,000242412",0.000242412
kessler tables,t1 AND t2,43,"0,001344403",0.001344403
